Datos del Problema,Newton Con Diferencias Divididas,Lagrange,Newton Hacia Adelante,Newton Hacia Atrás,F. Posicion,Newton Rapshon,Punto Fijo,Secante,Grafico,Bisectriz,Gauss-Seidel,Jacobi,Eliminación Gaussiana,Diferencias Divididas,Euler Hacia Adelante,Euler Hacia Atras,Euler Modificado,Gauss Jordan,Montante,Newton Cotes Abiertas,Newton Cotes Cerradas,Simpson 1/3,Simpson 3/8,Trapecio,Runge-Kutta Cuarto Orden Por Simpson 1/3,Runge-Kutta Cuarto Orden Por Simpson 3/8,Runge-Kutta Cuarto Orden Por Orden Superior,Runge-Kutta Segundo Orden,Runge-Kutta Tercer Orden
X= 3; Xi= {1.7; 2.4; 3.1}; Yi= {0.35; 0.87; 1.03},0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 X= 7; Xi= {7;3; 6;5; 6;1}; Yi= {-0;28; -1;35; -1;96},1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ - 6.5x + 2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= 3x³ - 2x - 3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ + 2x² + 10 - 20,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= e⁻ˣ - x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ −4x2 + x + 6,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ +x−1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= cos(x) − x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= ln(x+1) + x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x⁵ − x − 1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
